Strategy,Total Return,CAGR,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95%,CVaR 95%,Skewness,Kurtosis,Worst Day
CSP (Delta -0.3),1014.1%,41.9%,0.75,0.75,39.7%,1.06,-3.7%,-5.9%,-0.60,16.17,-31.7%
SmartWheel(W180),1558.7%,50.4%,0.82,0.84,61.8%,0.82,-3.9%,-6.1%,-0.42,11.78,-32.8%
Wheel (Delta 0.3),1502.6%,49.6%,0.81,0.82,45.1%,1.10,-4.1%,-6.0%,-0.35,9.69,-31.0%
Buy & Hold,2208.3%,57.8%,0.81,0.84,76.7%,0.75,-4.9%,-7.4%,-0.30,10.86,-39.1%
